ID,Dataset,Dataset_link,Industry,Sub_Industry,No_of_entries,Prompt_type,Evaluation_type(rag/LLM),Evaluation_technique
1,Banking_Financial_Statements_Alphabet_Tesla,Banking_Financial_Statements_Alphabet_Tesla,Banking,Company financial statement,520,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
2,Healthcare_System_in_Singapore,Healthcare_System_in_Singapore,Health,Health,97,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
3,Risk_Management_Policy,Risk_Management_Policy,Risk Management,risk management,160,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
4,Telcom_T-TUT-PROTO-2019-PDF-E,Telcom_T-TUT-PROTO-2019-PDF-E,Telecom,Telecom,130,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
5,Government_Constitution_of_the_Republic_of_Singapore,Government_Constitution_of_the_Republic_of_Singapore,Government,Government,160,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
6,Healthcare_National-Safety-and-Quality-Health-Service-Standards-second-edition,Healthcare_National-Safety-and-Quality-Health-Service-Standards-second-edition,Health,Health,82,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
7,Legal_TA-9-2023-0236_EN,Legal_TA-9-2023-0236_EN,Legal,Legal,143,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
8,Legal_IRS_Document_1,Legal_IRS_Document_1,Legal,Legal,145,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
9,Legal_IRS_Document_2,Legal_IRS_Document_2,Legal,Legal,126,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
10,Banking_CBA_AnnualReport_2023,Banking_CBA_AnnualReport_2023,Banking,Banking,120,RAG,RAG,Conditional Questions Multi Choice and Tokens Presence
